Year,Player,Pos,School,Height (month lmao),Wt (lbs),40YD (s),Vertical (in),BenchReps,Broad Jump (in),3Cone (s),Shuttle (s)
2016,Chris Brown,WR,Notre Dame,2-Jun,194,4.48,,,,,
2016,Jacoby Brissett,QB,North Carolina State,4-Jun,231,4.94,31,,113,7.17,4.53
2016,Tyler Boyd,WR,Pittsburgh,1-Jun,197,4.58,34,11,119,6.9,4.35
2016,Devontae Booker,RB,Utah,11-May,219,4.56,,22,,,
2016,Peyton Barber,RB,Auburn,10-May,228,4.64,32.5,20,111,7,4.21
2016,Demarcus Ayers,WR,Houston,9-May,182,4.72,33,,123,,
2016,Geronimo Allison,WR,Illinois,3-Jun,196,4.67,33,,127,7.4,4.28
2016,Brandon Allen,QB,Arkansas,1-Jun,217,4.84,28,,110,7.06,4.33
2016,Roberto Aguayo,K,Florida State,Jun-00,207,4.96,,,,,
2016,Bralon Addison,WR,Oregon,9-May,197,4.66,34.5,13,116,6.95,4.14
2016,Jerell Adams,TE,South Carolina,5-Jun,247,4.64,32.5,,117,7.05,4.31
2016,Stephen Anderson,TE,California,2-Jun,230,4.59,38,16,119,,
2016,Vernon Adams,QB,Oregon,11-May,200,4.83,29.5,,114,6.82,4.2
2016,Trevone Boykin,QB,Texas Christian,Jun-00,212,4.77,32,,110,,4.4
2016,Ben Braunecker,TE,Harvard,3-Jun,250,4.73,35.5,20,121,6.9,4.2
2016,Marshaun Coprich,RB,Illinois St,8-May,207,4.47,34,17,112,7.26,4.58
2016,Shadrach Thornton,RB,North Carolina State,Jun-00,217,4.75,31,12,116,6.85,4.21
2016,David Grinnage,TE,North Carolina State,5-Jun,248,4.9,29.5,,106,,
2016,Roger Lewis,WR,Bowling Green State,Jun-00,201,4.57,33.5,8,116,,
2016,Johnny Holton,WR,Cincinnati,1-Jun,190,4.54,31.5,8,123,,
2016,Marshall Koehn,K,Iowa,1-Jun,197,4.61,,,,,
2016,Marquez North,WR,Tennessee,2-Jun,223,4.48,35,17,123,6.9,4.13
2016,John Lunsford,K,Liberty,1-Jun,214,4.74,,,,,
2016,Josh Woodrum,QB,Liberty,3-Jun,231,4.8,31,,116,6.74,4.31
2015,T.J. Yeldon,RB,Alabama,1-Jun,226,4.61,36,22,117,7.19,4.22
2015,Cam Worthy,WR,East Carolina,2-Jun,211,4.59,,12,,,
2015,Jameis Winston,QB,Florida State,4-Jun,231,4.97,28.5,,103,7.16,4.36
2015,Trey Williams,RB,Texas A&M,7-May,195,4.49,33.5,18,119,6.84,4.12
2015,Maxx Williams,TE,Minnesota,4-Jun,249,4.78,34.5,17,117,7.3,4.37
2015,Karlos Williams,RB,Florida State,1-Jun,230,4.48,33.5,16,117,7.16,4.46
2015,Kevin White,WR,West Virginia,3-Jun,215,4.35,36.5,23,123,6.92,4.14
2015,DeAndrew White,WR,Alabama,11-May,193,4.44,34.5,,118,6.97,4.18
2015,Darren Waller,WR,Georgia Tech,6-Jun,238,4.46,37,12,125,7.07,4.25
2015,Clive Walford,TE,Miami (FL),4-Jun,251,4.79,35,20,120,7.32,4.57
2015,Eric Tomlinson,TE,Texas-El Paso,6-Jun,263,4.98,30.5,19,110,7.46,4.54
2015,Randall Telfer,TE,Southern California,4-Jun,250,4.83,,20,,,
2015,Jaelen Strong,WR,Arizona State,2-Jun,217,4.44,42,,123,,
2015,Devin Smith,WR,Ohio State,Jun-00,196,4.42,39,10,122,,4.15
2015,DeAndre Smelter,WR,Georgia Tech,2-Jun,226,4.52,,,,,
2015,Blake Sims,QB,Alabama,11-May,218,4.57,30.5,,115,,
2015,Jean Sifrin,TE,Massachusetts,5-Jun,245,4.84,33,,114,7.5,4.6
2015,Wes Saxton,TE,South Alabama,3-Jun,248,4.65,36,,119,7.29,4.49
2015,Ezell Ruffin,WR,San Diego State,Jun-00,218,4.68,27.5,17,110,7.35,4.58
2015,Josh Robinson,RB,Mississippi State,8-May,217,4.7,32,21,113,,
2015,Jared Roberts,K,Colorado State,Jun-00,210,5.02,,,,,
2015,Thomas Rawls,RB,Central Michigan,9-May,215,4.65,35.5,15,116,,
2015,MyCole Pruitt,TE,Southern Illinois,2-Jun,251,4.58,38,17,118,7.25,4.37
2015,Bryce Petty,QB,Baylor,3-Jun,230,4.87,34,,121,6.91,4.13
2015,Breshad Perriman,WR,Central Florida,2-Jun,212,,,,,,
2015,DeVante Parker,WR,Louisville,3-Jun,209,4.45,36.5,17,125,,
2015,Nick O'Leary,TE,Florida State,3-Jun,252,4.93,30.5,21,110,7.4,4.5
2015,J.J. Nelson,WR,Alabama-Birmingham,10-May,156,4.28,36,,127,7.02,4.15
2015,Marcus Murphy,RB,Missouri,9-May,198,4.61,29,11,109,,4.4
2015,Keith Mumphery,WR,Michigan State,Jun-00,215,4.54,32.5,,121,7.07,4.25
2015,Ty Montgomery,WR,Stanford,Jun-00,221,4.55,40.5,,121,6.97,4.21
2015,Tre McBride,WR,William & Mary,Jun-00,210,4.41,38,16,122,6.96,4.08
2015,Vince Mayle,WR,Washington State,2-Jun,224,4.67,35.5,,117,6.93,4.13
2015,Marcus Mariota,QB,Oregon,4-Jun,222,4.52,36,,121,6.87,4.11
2015,Justin Manton,K,Louisiana-Monroe,3-Jun,196,4.93,,,,,
2015,Sean Mannion,QB,Oregon State,6-Jun,229,5.14,31,,105,7.29,4.39
2015,Terrence Magee,RB,LSU,8-May,213,4.62,37,22,115,7.52,4.37
2015,Deon Long,WR,Maryland,Jun-00,192,4.51,34,12,120,6.98,4.27
2015,Tyler Lockett,WR,Kansas State,10-May,182,4.4,35.5,,121,6.89,4.07
2015,Tony Lippett,WR,Michigan State,2-Jun,192,4.61,36,10,114,6.92,4.13
2015,Jeremy Langford,RB,Michigan State,Jun-00,208,4.42,34.5,,118,7.22,4.32
2015,Josh Lambo,K,Texas A&M,Jun-00,216,5.16,,,,,
2015,Tyler Kroft,TE,Rutgers,5-Jun,246,4.75,,17,,,
2015,Ben Koyack,TE,Notre Dame,5-Jun,255,4.79,,,,,
2015,Matt Jones,RB,Florida,2-Jun,231,4.61,31.5,20,112,,4.2
2015,Duke Johnson,RB,Miami (FL),9-May,207,4.54,33.5,,121,,
2015,David Johnson,RB,Northern Iowa,1-Jun,224,4.5,41.5,25,127,6.82,4.27
2015,Jesse James,TE,Penn State,7-Jun,261,4.83,37.5,26,121,7.53,4.5
2015,Joey Iosefa,FB,Hawaii,Jun-00,247,5.02,31.5,30,110,7.24,4.33
2015,Brett Hundley,QB,UCLA,3-Jun,226,4.63,36,,120,6.93,3.98
2015,Kenny Hilliard,RB,LSU,Jun-00,226,4.83,27,,111,7.17,4.4
2015,Jeff Heuerman,TE,Ohio State,5-Jun,254,4.81,,26,,,
2015,Dee Hart,RB,Colorado State,7-May,199,4.8,33,,113,7.2,4.38
2015,Josh Harper,WR,Fresno State,1-Jun,191,4.64,32,13,108,7.15,4.36
2015,Justin Hardy,WR,East Carolina,10-May,192,4.56,36.5,11,114,6.63,4.21
2015,Rannell Hall,WR,Central Florida,Jun-00,198,4.6,41,16,132,6.86,4.15
2015,Connor Halliday,QB,Washington State,3-Jun,204,4.87,,,,,
2015,Todd Gurley,RB,Georgia,1-Jun,222,4.52,,17,,,
2015,Rashad Greene,WR,Florida State,11-May,182,4.53,36.5,,122,6.88,4.12
2015,Dorial Green-Beckham,WR,Oklahoma,5-Jun,237,4.49,33.5,13,119,6.89,4.45
2015,Garrett Grayson,QB,Colorado State,2-Jun,213,4.75,,,,,
2015,Melvin Gordon,RB,Wisconsin,1-Jun,215,4.52,35,19,126,7.04,4.07
2015,Antwan Goodley,WR,Baylor,10-May,209,4.44,,,,,
2015,Devin Funchess,WR,Michigan,4-Jun,232,4.7,38.5,17,122,,
2015,Jalston Fowler,FB,Alabama,11-May,254,4.94,33.5,23,114,7.56,4.4
2015,Sam Ficken,K,Penn State,1-Jun,191,5.06,,,,,
2015,Cody Fajardo,QB,Nevada,1-Jun,223,4.63,32.5,,118,6.95,4.1
2015,Jahwan Edwards,RB,Ball State,9-May,220,4.8,35.5,16,117,7.63,4.5
2015,Michael Dyer,RB,Louisville,8-May,218,4.58,34,26,120,,
2015,Phillip Dorsett,WR,Miami (FL),10-May,185,4.33,37,13,122,6.7,4.11
2015,Stefon Diggs,WR,Maryland,Jun-00,195,4.46,35,,115,7.03,4.32
2015,Titus Davis,WR,Central Michigan,1-Jun,196,4.51,32.5,,119,7.14,4.28
2015,Mike Davis,RB,South Carolina,9-May,217,4.61,34,17,116,7,4.18
2015,Geremy Davis,WR,Connecticut,2-Jun,216,4.49,36.5,23,124,6.86,4.18
2015,Jamison Crowder,WR,Duke,8-May,185,4.56,37,10,115,7.17,4.32
2015,John Crockett,RB,North Dakota State,Jun-00,217,4.62,40,15,125,7.15,4.25
2015,Amari Cooper,WR,Alabama,1-Jun,211,4.42,33,,120,6.71,3.98
2015,Chris Conley,WR,Georgia,2-Jun,213,4.35,45,18,139,7.06,4.3
2015,Tevin Coleman,RB,Indiana,11-May,206,4.4,,22,,,
2015,David Cobb,RB,Minnesota,11-May,229,4.81,38.5,17,121,,
2015,Sammie Coates,WR,Auburn,1-Jun,212,4.43,41,23,131,6.98,4.06
2015,Kaelin Clay,WR,Utah,10-May,195,4.51,33,10,113,6.97,4.26
2015,Gerald Christian,TE,Louisville,3-Jun,244,4.87,,28,,7.62,4.7
2015,B.J. Catalon,RB,TCU,7-May,186,4.57,36,,114,6.9,4.15
2015,Shane Carden,QB,East Carolina,2-Jun,218,4.94,29.5,,104,7.17,4.45
2015,Michael Burton,FB,Rutgers,11-May,242,4.65,33,25,115,7.2,4.34
2015,Dominique Brown,RB,Louisville,2-Jun,234,4.63,,17,,,
2015,Da'Ron Brown,WR,Northern Illinois,Jun-00,205,4.54,37,17,120,7.04,4.11
2015,Kyle Brindza,K,Notre Dame,1-Jun,236,5.17,,14,,,
2015,Brandon Bridge,QB,South Alabama,4-Jun,229,4.72,33,,110,7.18,4.37
2015,Nick Boyle,TE,Delaware,4-Jun,268,5.04,30.5,20,112,7.13,4.23
2015,Anthony Boone,QB,Duke,Jun-00,231,5.03,26.5,,100,7.47,4.62
2015,E.J. Bibbs,TE,Iowa State,2-Jun,258,4.88,,20,,,
2015,Kenny Bell,WR,Nebraska,1-Jun,197,4.42,41.5,7,129,6.66,4.15
2015,Blake Bell,TE,Oklahoma,6-Jun,252,4.8,33,14,116,6.85,4.32
2015,Cameron Artis-Payne,RB,Auburn,10-May,212,4.53,36.5,,118,7.13,
2015,Rory Anderson,TE,South Carolina,5-Jun,244,4.73,,,,,
2015,Dres Anderson,WR,Utah,1-Jun,187,4.54,,13,,,
2015,Javorius Allen,RB,Southern California,Jun-00,221,4.53,35.5,11,121,6.96,4.28
2015,Mario Alford,WR,West Virginia,8-May,180,4.43,34,13,121,6.64,4.07
2015,Jay Ajayi,RB,Boise State,Jun-00,221,4.57,39,19,121,7.1,4.1
2015,Nelson Agholor,WR,Southern California,Jun-00,198,4.42,,12,,,
2015,Ameer Abdullah,RB,Nebraska,9-May,205,4.6,42.5,24,130,6.79,3.95
2015,Zach Zenner,FB,South Dakota State,11-May,223,4.6,41,25,121,7.08,4.14
2015,Tyler Varga,FB,Yale,11-May,222,4.69,,23,,,
2015,Ross Scheuerman,WR,Lafayette,Jun-00,204,4.62,33,15,121,7.08,4.11
2015,Bryan Bennett,QB,Southeastern Louisiana,2-Jun,211,4.81,37,,125,7.13,4.2
2015,Malcolm Brown,RB,Texas,11-May,224,4.62,34.5,19,117,6.86,4.15
2015,DaVaris Daniels,WR,Notre Dame,1-Jun,201,4.62,37,13,122,,
2015,Devante Davis,WR,UNLV,3-Jun,220,4.57,35.5,16,115,7.25,4.12
2015,AJ Derby,TE,Arkansas,4-Jun,255,4.72,,15,,,
2015,Braylon Heard,RB,Kentucky,10-May,198,4.63,30.5,19,116,7.19,4.4
2015,Gus Johnson,RB,Stephen F. Austin,10-May,215,4.7,36.5,26,120,7.09,4.13
2015,Chris Jones,WR,Alabama,10-May,182,4.63,32.5,8,119,6.91,4.19
2015,Dez Lewis,WR,Central Arkansas,4-Jun,214,4.58,33.5,16,119,7.11,4.28
2015,Jerry Lovelocke,QB,Prairie View A&M,4-Jun,248,4.99,31.5,,113,7.3,4.51
2015,Donatella Luckett,WR,Harding,Jun-00,211,4.4,34,17,118,7.51,4.5
2014,Albert Wilson,WR,Georgia State,9-May,202,4.43,37.5,10,123,7,4.21
2014,Damien Williams,RB,Oklahoma,11-May,222,4.45,35.5,16,121,7.37,4.25
2014,Andre Williams,RB,Boston College,11-May,230,4.56,38,,129,7.27,4.06
2014,"James Wilder, Jr.",RB,Florida State,3-Jun,232,4.65,35,18,121,6.92,4.24
2014,James White,RB,Wisconsin,9-May,204,4.57,32,23,114,7.05,4.2
2014,Terrance West,RB,Towson,9-May,225,4.56,33.5,16,120,,
2014,Keith Wenning,QB,Ball State,3-Jun,218,5,28,,100,7.07,4.25
2014,Larry Webster,TE,Bloomsburg,6-Jun,252,4.58,36.5,17,123,7.29,4.44
2014,Sammy Watkins,WR,Clemson,1-Jun,211,4.43,34,16,126,6.95,4.34
2014,L'Damian Washington,WR,Missouri,4-Jun,195,4.46,32,8,115,7.19,4.35
2014,Dustin Vaughan,QB,West Texas A&M,5-Jun,235,4.95,29,,108,7.25,4.43
2014,Logan Thomas,QB,Virginia Tech,6-Jun,248,4.61,35.5,,118,7.05,4.18
2014,De'Anthony Thomas,RB,Nebraska,9-May,174,4.39,32,8,124,,
2014,Lorenzo Taliaferro,RB,Coastal Carolina,Jun-00,229,4.58,33,18,118,6.88,4.22
2014,Devin Street,WR,Pittsburgh,3-Jun,198,4.55,37,,124,6.89,4.01
2014,Josh Stewart,WR,Oklahoma State,10-May,178,4.69,35,11,117,7.1,4.33
2014,Willie Snead,WR,Ball State,11-May,195,4.62,33.5,11,113,7.19,4.39
2014,Jerome Smith,RB,Syracuse,11-May,220,4.84,36,14,118,7.53,4.6
2014,Charles Sims,RB,West Virginia,Jun-00,214,4.48,37.5,17,126,7.16,4.3
2014,Connor Shaw,QB,South Carolina,Jun-00,206,4.66,34,,116,7.07,4.33
2014,Austin Seferian-Jenkins,TE,Washington,5-Jun,262,4.75,,20,,,
2014,Lache Seastrunk,RB,Baylor,9-May,201,4.51,41.5,15,134,,
2014,Tom Savage,QB,Pittsburgh,4-Jun,228,4.97,27,,105,7.33,4.36
2014,Jalen Saunders,WR,Oklahoma,9-May,165,4.44,34,,122,,
2014,Cairo Santos,K,Tulane,8-May,164,4.76,,,,,
2014,Bishop Sankey,RB,Washington,9-May,209,4.49,35.5,26,126,6.75,4
2014,Richard Rodgers,TE,California,4-Jun,257,4.87,31.5,16,116,7.23,4.47
2014,Allen Robinson,WR,Penn State,3-Jun,220,4.6,39,,127,7,4
2014,Paul Richardson,WR,Colorado,Jun-00,175,4.4,38,,124,7.09,
2014,Bryn Renner,QB,North Carolina,3-Jun,228,4.87,25.5,,108,7.22,4.3
2014,Tevin Reese,WR,Baylor,10-May,163,4.46,41,,132,6.63,4.18
2014,Silas Redd,RB,Southern California,10-May,212,4.7,37,18,122,,
2014,LaDarius Perkins,RB,Mississippi State,7-May,195,4.46,35.5,23,124,7.08,4.3
2014,Jacob Pedersen,TE,Wisconsin,3-Jun,238,4.82,28.5,,111,7.55,4.4
2014,Kevin Norwood,WR,Alabama,2-Jun,198,4.48,33,8,121,6.68,4.32
2014,Troy Niklas,TE,Notre Dame,6-Jun,270,4.84,32,27,114,7.57,4.55
2014,Jordan Najvar,TE,Baylor,6-Jun,256,4.93,32.5,18,112,7.14,4.47
2014,Aaron Murray,QB,Georgia,Jun-00,207,4.84,,,,,
2014,Jake Murphy,TE,Utah,4-Jun,249,4.79,33,24,114,7.18,4.27
2014,Stephen Morris,QB,Miami (FL),2-Jun,213,4.63,30,,111,7.36,4.49
2014,Donte Moncrief,WR,Mississippi,2-Jun,221,4.4,39.5,13,132,7.02,4.3
2014,Trey Millard,FB,Oklahoma,2-Jun,247,4.64,,,,,
2014,Zach Mettenberger,QB,LSU,5-Jun,224,,,,,,
2014,Jerick McKinnon,RB,Georgia Southern,9-May,209,4.41,40.5,32,132,6.83,4.12
2014,A.J. McCarron,QB,Alabama,3-Jun,220,4.94,28,,99,7.18,4.34
2014,Jordan Matthews,WR,Vanderbilt,3-Jun,212,4.46,35.5,21,120,6.95,4.18
2014,Tre Mason,RB,Auburn,8-May,207,4.5,38.5,,126,,4.15
2014,Johnny Manziel,QB,Texas A&M,Jun-00,207,4.68,31.5,,113,6.75,4.03
2014,Jordan Lynch,QB,Northern Illinois,Jun-00,217,4.76,29.5,,109,6.55,4.2
2014,Arthur Lynch,TE,Georgia,5-Jun,258,4.82,29.5,28,116,7.38,4.35
2014,Colt Lyerla,TE,Oregon,4-Jun,242,4.61,39,15,128,,
2014,Marcus Lucas,WR,Missouri,4-Jun,218,4.6,36,20,124,7.07,4.25
2014,Marqise Lee,WR,Southern California,Jun-00,192,4.52,38,,127,,4.01
2014,Cody Latimer,WR,Indiana,2-Jun,215,4.52,,23,,,
2014,Jarvis Landry,WR,LSU,11-May,205,4.65,28.5,12,110,,
2014,Henry Josey,RB,Missouri,8-May,194,4.43,34.5,20,118,7.07,4.13
2014,Reggie Jordan,FB,Missouri Western,3-Jun,240,4.77,30,24,116,7.22,4.3
2014,T.J. Jones,WR,Notre Dame,Jun-00,188,4.46,33,,119,6.82,4.27
2014,Storm Johnson,RB,Central Florida,Jun-00,209,4.6,35.5,16,118,,
2014,Marcel Jensen,TE,Fresno State,6-Jun,259,4.85,35,24,115,7.38,4.6
2014,Jeff Janis,WR,Saginaw Valley State,3-Jun,219,4.42,37.5,20,123,6.64,3.98
2014,Nic Jacobs,TE,McNeese State,5-Jun,269,4.89,,15,,,
2014,Carlos Hyde,RB,Ohio State,Jun-00,230,4.62,34.5,19,114,,
2014,Allen Hurns,WR,Miami (FL),1-Jun,198,4.55,31,14,120,7.23,4.5
2014,Josh Huff,WR,Oregon,11-May,206,4.51,35.5,14,116,,
2014,Cody Hoffman,WR,BYU,4-Jun,223,4.65,27.5,13,108,6.89,4.2
2014,Zach Hocker,K,Arkansas,Jun-00,189,4.9,,,,,
2014,Jeremy Hill,RB,LSU,1-Jun,233,4.56,29,20,113,,
2014,Ryan Hewitt,FB,Stanford,4-Jun,246,4.87,33,,109,7.04,4.35
2014,Robert Herron,WR,Wyoming,9-May,193,4.48,35.5,18,125,6.84,4.27
2014,Matt Hazel,WR,Coastal Carolina,1-Jun,198,4.5,36.5,15,118,7.08,4.2
2014,Xavier Grimble,TE,Southern California,4-Jun,257,4.76,26.5,,113,,
2014,Marion Grice,RB,Arizona State,Jun-00,208,4.67,,,,,
2014,Ryan Grant,WR,Tulane,Jun-00,199,4.64,35.5,8,119,6.68,4.11
2014,Crockett Gillmore,TE,Colorado State,6-Jun,260,4.89,33.5,,120,7.42,4.44
2014,Jimmy Garoppolo,QB,Eastern Illinois,2-Jun,226,4.97,30.5,,110,7.04,4.26
2014,Jeremy Gallon,WR,Michigan,7-May,185,4.49,,15,,,
2014,Tyler Gaffney,RB,Stanford,11-May,220,4.49,36.5,,116,6.78,4.18
2014,Devonta Freeman,RB,Florida State,8-May,206,4.58,31.5,,118,7.11,4.26
2014,Austin Franklin,WR,New Mexico State,11-May,189,4.56,36,7,124,7.07,4.33
2014,Bennie Fowler,WR,Michigan State,1-Jun,217,4.52,36,,126,7.06,4.18
2014,David Fluellen,RB,Toledo,11-May,224,4.72,36.5,,120,6.9,
2014,C.J. Fiedorowicz,TE,Iowa,5-Jun,265,4.76,31.5,25,116,7.1,4.26
2014,David Fales,QB,San Jose State,2-Jun,212,4.99,28,,103,7.55,4.5
2014,Shaquelle Evans,WR,UCLA,1-Jun,213,4.51,34.5,13,122,7.07,4.21
2014,Mike Evans,WR,Texas A&M,5-Jun,231,4.53,37,12,,7.08,4.26
2014,Quincy Enunwa,WR,Nebraska,2-Jun,225,4.41,,19,,,
2014,Bruce Ellington,WR,South Carolina,9-May,197,4.45,39.5,15,120,6.69,3.95
2014,Eric Ebron,TE,North Carolina,4-Jun,250,4.6,32,24,120,,
2014,Mike Davis,WR,Texas,Jun-00,197,4.52,,10,,,
2014,Isaiah Crowell,RB,Alabama State,11-May,224,4.57,38,23,117,,
2014,Tim Cornett,RB,UNLV,Jun-00,209,4.48,34.5,,125,7.01,4.26
2014,J.C. Copeland,FB,LSU,11-May,271,4.95,28.5,23,111,7.68,4.58
2014,Damian Copeland,WR,Louisville,11-May,184,4.5,40,12,120,6.53,3.9
2014,Brandin Cooks,WR,Oregon State,10-May,189,4.33,36,16,120,6.76,3.81
2014,Kain Colter,WR,Northwestern,10-May,198,4.71,,,,,
2014,Brandon Coleman,WR,Rutgers,6-Jun,225,4.56,32.5,21,,7.33,4.51
2014,Derek Carr,QB,Fresno State,2-Jun,214,4.69,34.5,,110,,4.2
2014,Ka'Deem Carey,RB,North Carolina State,9-May,207,4.69,32.5,19,115,7.08,4.38
2014,Michael Campanaro,WR,Wake Forest,9-May,192,4.46,39,20,122,6.77,4.01
2014,Trey Burton,WR,Florida,2-Jun,224,4.62,30,,112,7.14,4.32
2014,Isaiah Burse,WR,Fresno State,10-May,188,4.58,31,16,115,6.74,3.94
2014,Martavis Bryant,WR,Clemson,4-Jun,211,4.42,39,16,124,7.18,4.15
2014,Corey Brown,WR,Ohio State,11-May,178,4.51,33,,116,7.16,4.22
2014,John Brown,WR,Pittsburg State,10-May,179,4.34,36.5,,119,6.91,4.12
2014,Teddy Bridgewater,QB,Louisville,2-Jun,214,,30,,113,7.17,4.2
2014,Tajh Boyd,QB,Clemson,1-Jun,222,4.84,30.5,,106,7.33,4.23
2014,Chris Boyd,WR,Vanderbilt,4-Jun,206,4.73,,12,,,
2014,Chris Boswell,K,Rice,2-Jun,185,4.93,,,,,
2014,Blake Bortles,QB,Central Florida,5-Jun,232,4.93,32.5,,115,7.08,4.21
2014,Alfred Blue,RB,LSU,2-Jun,223,4.63,32,13,121,7.15,4.5
2014,Rob Blanchflower,TE,Massachusetts,4-Jun,256,4.82,,,,,
2014,Kapri Bibbs,RB,Colorado State,9-May,212,4.67,29,24,106,,
2014,Kelvin Benjamin,WR,Florida State,5-Jun,240,4.61,32.5,13,119,7.33,4.39
2014,"Odell Beckham, Jr.",WR,LSU,11-May,198,4.38,38.5,7,122,6.69,3.94
2014,George Atkinson,RB,Notre Dame,1-Jun,218,4.48,38,19,121,7.07,4.46
2014,Dri Archer,WR,Kent State,8-May,173,4.26,38,20,122,6.86,4.06
2014,Antonio Andrews,RB,Western Kentucky,10-May,225,4.82,29.5,20,106,7.24,4.49
2014,Jace Amaro,TE,Texas Tech,5-Jun,265,4.74,33,28,118,7.42,4.3
2014,Davante Adams,WR,Fresno State,1-Jun,212,4.56,39.5,14,123,6.82,4.3
2014,Jared Abbrederis,WR,Wisconsin,1-Jun,195,4.5,30.5,4,117,6.8,4.08
2014,D.J. Tialavea,TE,Utah State,3-Jun,267,4.95,,,,,
2014,A.D. Denham,TE,Kansas,4-Jun,235,4.69,32.5,,,,
2014,Joe Don Duncan,TE,Dixie State,3-Jun,268,4.79,,35,,,
2014,Anthony Fera,K,Texas,1-Jun,211,4.85,,,,,
2014,Tim Flanders,RB,Sam Houston State,9-May,207,4.75,32,20,113,7.07,
2014,A.C. Leonard,TE,Tennessee State,2-Jun,252,4.5,34,20,128,,
2014,Jeff Mathews,QB,Cornell,4-Jun,223,5.26,25.5,,105,7.14,4.36
2014,Adam Muema,RB,San Diego State,10-May,202,4.56,,,,,
2013,Robert Woods,WR,Southern California,Jun-00,201,4.51,33.5,14,117,7.15,4.47
2013,Cierre Wood,RB,Notre Dame,11-May,213,4.56,37.5,16,124,,
2013,George Winn,RB,Cincinnati,10-May,218,4.75,34.5,22,119,,
2013,Tyler Wilson,QB,Arkansas,2-Jun,215,4.95,28.5,,112,7.22,4.39
2013,Marquess Wilson,WR,Washington State,3-Jun,194,4.51,34.5,7,122,6.65,4.33
2013,Braden Wilson,FB,Kansas State,3-Jun,251,4.81,,22,,,
2013,Terrance Williams,WR,Baylor,2-Jun,208,4.52,32.5,11,119,7.01,4.32
2013,Kerwynn Williams,RB,Utah State,8-May,195,4.48,35,17,118,7.15,4.15
2013,Markus Wheaton,WR,Oregon State,11-May,189,4.45,37,20,120,6.8,4.02
2013,Spencer Ware,RB,LSU,10-May,228,4.62,,,,,
2013,Conner Vernon,WR,Duke,Jun-00,196,4.68,32.5,,125,6.93,4.22
2013,Matthew Tucker,RB,TCU,Jun-00,221,4.55,35.5,17,118,,
2013,Levine Toilolo,TE,Stanford,8-Jun,260,4.86,31,17,113,7.09,4.57
2013,Kenbrell Thompkins,WR,Cincinnati,1-Jun,193,4.54,33.5,8,121,6.88,4.21
2013,Chris Thompson,RB,Florida State,7-May,192,4.42,,21,,,
2013,Stepfan Taylor,RB,Stanford,9-May,214,4.76,30,17,110,7.13,4.5
2013,Ryan Swope,WR,Texas A&M,Jun-00,205,4.34,37,16,125,6.76,4.25
2013,Caleb Sturgis,K,Florida,10-May,188,4.77,,,,,
2013,Jake Stoneburner,TE,Ohio State,3-Jun,252,4.65,34.5,18,116,7.12,4.27
2013,Kenny Stills,WR,Oklahoma,Jun-00,194,4.38,33.5,16,124,,4.35
2013,Zac Stacy,RB,Vanderbilt,8-May,216,4.55,33,27,122,6.7,4.17
2013,Ryan Spadola,WR,Lehigh,1-Jun,204,4.48,33.5,15,119,6.72,4.07
2013,Brad Sorensen,QB,Southern Utah,4-Jun,229,4.97,29,,112,7.17,4.55
2013,Rodney Smith,WR,Florida State,4-Jun,225,4.51,34.5,,120,7.03,4.07
2013,Geno Smith,QB,West Virginia,2-Jun,218,4.58,33.5,,124,,
2013,Dion Sims,TE,Michigan State,5-Jun,262,4.75,35,22,112,7.36,4.52
2013,Matt Scott,QB,Arizona,2-Jun,213,4.69,31,,118,6.69,3.99
2013,Ace Sanders,WR,South Carolina,7-May,173,4.58,32,7,117,6.81,4.37
2013,Lanear Sampson,WR,Baylor,11-May,204,4.46,33.5,20,119,7.1,4.38
2013,Da'Rick Rogers,WR,Tennessee Tech,2-Jun,217,4.5,39.5,10,132,6.71,4.06
2013,Denard Robinson,WR,Michigan,10-May,199,4.43,36.5,,123,7.09,4.22
2013,Mychal Rivera,TE,Tennessee,3-Jun,242,4.81,31,17,112,7.17,4.43
2013,Theo Riddick,RB,Notre Dame,10-May,201,4.68,32,,118,,
2013,Sean Renfree,QB,Duke,3-Jun,219,4.76,,,,,
2013,Jordan Reed,TE,Florida,2-Jun,236,4.72,,16,,,
2013,Joseph Randle,RB,Oklahoma State,Jun-00,204,4.63,35,,123,,
2013,Lonnie Pryor,FB,Florida State,11-May,227,4.7,30,17,114,7.28,4.55
2013,Quinton Patton,WR,Louisiana Tech,Jun-00,204,4.53,33,8,118,6.91,4.01
2013,Cordarrelle Patterson,WR,Tennessee,2-Jun,216,4.42,37,,128,,
2013,Chris Pantale,TE,Boston College,5-Jun,254,4.99,33.5,17,110,7.48,4.5
2013,Ryan Otten,TE,San Jose State,5-Jun,230,4.69,,,,,
2013,Ryan Nassib,QB,Syracuse,2-Jun,227,5.06,28.5,,105,7.34,4.53
2013,T.J. Moe,WR,Missouri,11-May,204,4.74,36,26,120,6.53,3.96
2013,Christine Michael,RB,Texas A&M,10-May,220,4.54,43,27,125,6.69,4.02
2013,Aaron Mellette,WR,Elon,2-Jun,217,4.54,33.5,9,123,7.11,4.41
2013,Vance McDonald,TE,Rice,4-Jun,267,4.69,33.5,31,119,7.08,4.53
2013,Onterio McCalebb,RB,Auburn,10-May,168,4.34,34,,121,,
2013,Miguel Maysonet,RB,Stony Brook,9-May,209,4.54,,20,,7.21,4.43
